concept;g;w;map
diningtable;3;24;0.1180
car;3;24;0.1971
person;3;24;0.4459
aeroplane;3;24;0.2548
dog;3;24;0.1471
bicycle;3;24;0.0798
train;3;24;0.1170
motorbike;3;24;0.0989
bottle;3;24;0.0763
sofa;3;24;0.0809
cat;3;24;0.1616
horse;3;24;0.0837
boat;3;24;0.1991
all;3;24;0.2548
bus;3;24;0.1768
bird;3;24;0.1238
tvmonitor;3;24;0.1018
pottedplant;3;24;0.0995
sheep;3;24;0.1160
chair;3;24;0.1652
cow;3;24;0.0914
diningtable;8;23;0.1053
car;8;23;0.1997
person;8;23;0.4612
aeroplane;8;23;0.2210
dog;8;23;0.1483
bicycle;8;23;0.0827
train;8;23;0.1224
motorbike;8;23;0.1036
bottle;8;23;0.0713
sofa;8;23;0.0734
cat;8;23;0.1566
horse;8;23;0.0665
boat;8;23;0.1505
all;8;23;0.2210
bus;8;23;0.1723
bird;8;23;0.1134
tvmonitor;8;23;0.1112
pottedplant;8;23;0.0955
sheep;8;23;0.0775
chair;8;23;0.1508
cow;8;23;0.0670
diningtable;2;6;0.1156
car;2;6;0.2130
person;2;6;0.4758
aeroplane;2;6;0.3421
dog;2;6;0.1670
bicycle;2;6;0.0685
train;2;6;0.1345
motorbike;2;6;0.0887
bottle;2;6;0.0849
sofa;2;6;0.0728
cat;2;6;0.1637
horse;2;6;0.0662
boat;2;6;0.2334
all;2;6;0.3421
bus;2;6;0.1546
bird;2;6;0.1806
tvmonitor;2;6;0.0901
pottedplant;2;6;0.0793
sheep;2;6;0.1336
chair;2;6;0.1832
cow;2;6;0.0574
diningtable;8;9;0.1269
car;8;9;0.2310
person;8;9;0.4647
aeroplane;8;9;0.2832
dog;8;9;0.1580
bicycle;8;9;0.0743
train;8;9;0.1271
motorbike;8;9;0.1003
bottle;8;9;0.0815
sofa;8;9;0.0850
cat;8;9;0.1698
horse;8;9;0.0717
boat;8;9;0.2171
all;8;9;0.2832
bus;8;9;0.1578
bird;8;9;0.1509
tvmonitor;8;9;0.1063
pottedplant;8;9;0.0855
sheep;8;9;0.1002
chair;8;9;0.1662
cow;8;9;0.0716
diningtable;7;11;0.1277
car;7;11;0.2248
person;7;11;0.4625
aeroplane;7;11;0.2756
dog;7;11;0.1586
bicycle;7;11;0.0771
train;7;11;0.1215
motorbike;7;11;0.1078
bottle;7;11;0.0804
sofa;7;11;0.0880
cat;7;11;0.1699
horse;7;11;0.0745
boat;7;11;0.2181
all;7;11;0.2756
bus;7;11;0.1614
bird;7;11;0.1491
tvmonitor;7;11;0.1126
pottedplant;7;11;0.0944
sheep;7;11;0.0973
