concept,siftco,colorco,map
diningtable,0.62,0.38,0.2464
car,0.62,0.38,0.4020
person,0.62,0.38,0.6848
aeroplane,0.62,0.38,0.7063
dog,0.62,0.38,0.3490
bicycle,0.62,0.38,0.3850
train,0.62,0.38,0.5145
motorbike,0.62,0.38,0.3127
bottle,0.62,0.38,0.1389
sofa,0.62,0.38,0.1919
cat,0.62,0.38,0.4556
horse,0.62,0.38,0.3166
boat,0.62,0.38,0.3864
bus,0.62,0.38,0.6148
bird,0.62,0.38,0.3258
tvmonitor,0.62,0.38,0.3889
pottedplant,0.62,0.38,0.1530
sheep,0.62,0.38,0.3552
chair,0.62,0.38,0.3792
cow,0.62,0.38,0.1849
diningtable,0.57,0.43,0.2499
car,0.57,0.43,0.4027
person,0.57,0.43,0.6861
aeroplane,0.57,0.43,0.7030
dog,0.57,0.43,0.3493
bicycle,0.57,0.43,0.3853
train,0.57,0.43,0.5144
motorbike,0.57,0.43,0.3137
bottle,0.57,0.43,0.1395
sofa,0.57,0.43,0.1894
cat,0.57,0.43,0.4570
horse,0.57,0.43,0.3179
boat,0.57,0.43,0.3918
bus,0.57,0.43,0.6167
bird,0.57,0.43,0.3277
tvmonitor,0.57,0.43,0.3900
pottedplant,0.57,0.43,0.1530
sheep,0.57,0.43,0.3529
chair,0.57,0.43,0.3774
cow,0.57,0.43,0.1845
diningtable,0.34,0.66,0.2517
car,0.34,0.66,0.3848
person,0.34,0.66,0.6620
aeroplane,0.34,0.66,0.6122
dog,0.34,0.66,0.3480
bicycle,0.34,0.66,0.3797
train,0.34,0.66,0.4923
motorbike,0.34,0.66,0.3182
bottle,0.34,0.66,0.1370
sofa,0.34,0.66,0.1530
cat,0.34,0.66,0.4492
horse,0.34,0.66,0.3160
boat,0.34,0.66,0.3840
bus,0.34,0.66,0.6001
bird,0.34,0.66,0.2977
tvmonitor,0.34,0.66,0.3849
pottedplant,0.34,0.66,0.1631
sheep,0.34,0.66,0.3267
chair,0.34,0.66,0.3421
cow,0.34,0.66,0.1635
diningtable,0.67,0.33,0.2445
car,0.67,0.33,0.4002
person,0.67,0.33,0.6822
aeroplane,0.67,0.33,0.7070
dog,0.67,0.33,0.3484
bicycle,0.67,0.33,0.3850
train,0.67,0.33,0.5142
motorbike,0.67,0.33,0.3113
bottle,0.67,0.33,0.1383
sofa,0.67,0.33,0.1936
cat,0.67,0.33,0.4542
horse,0.67,0.33,0.3158
boat,0.67,0.33,0.3814
