concept,centers,g,w,map
diningtable,256,50,20,0.2094
car,256,50,20,0.3426
person,256,50,20,0.6097
aeroplane,256,50,20,0.5987
dog,256,50,20,0.2948
bicycle,256,50,20,0.3134
train,256,50,20,0.4348
motorbike,256,50,20,0.2228
bottle,256,50,20,0.1267
sofa,256,50,20,0.1784
cat,256,50,20,0.3828
horse,256,50,20,0.2247
boat,256,50,20,0.2770
all,256,50,20,0.3083
bus,256,50,20,0.5012
bird,256,50,20,0.2411
tvmonitor,256,50,20,0.3113
pottedplant,256,50,20,0.1342
sheep,256,50,20,0.2934
chair,256,50,20,0.3108
cow,256,50,20,0.1585
diningtable,512,50,20,0.2190
car,512,50,20,0.3310
person,512,50,20,0.6081
aeroplane,512,50,20,0.6312
dog,512,50,20,0.3040
bicycle,512,50,20,0.3417
train,512,50,20,0.4410
motorbike,512,50,20,0.2357
bottle,512,50,20,0.1295
sofa,512,50,20,0.1743
cat,512,50,20,0.3873
horse,512,50,20,0.2697
boat,512,50,20,0.2808
all,512,50,20,0.3148
bus,512,50,20,0.5319
bird,512,50,20,0.2412
tvmonitor,512,50,20,0.3490
pottedplant,512,50,20,0.1108
sheep,512,50,20,0.2561
chair,512,50,20,0.3119
cow,512,50,20,0.1412
diningtable,512,150,20,0.2250
car,512,150,20,0.3634
person,512,150,20,0.6349
aeroplane,512,150,20,0.6523
dog,512,150,20,0.3169
bicycle,512,150,20,0.3627
train,512,150,20,0.4873
motorbike,512,150,20,0.2687
bottle,512,150,20,0.1257
sofa,512,150,20,0.1659
cat,512,150,20,0.4242
horse,512,150,20,0.2931
boat,512,150,20,0.2883
all,512,150,20,0.3308
bus,512,150,20,0.5392
bird,512,150,20,0.2613
tvmonitor,512,150,20,0.3268
pottedplant,512,150,20,0.1147
sheep,512,150,20,0.2848
chair,512,150,20,0.3362
cow,512,150,20,0.1453
diningtable,512,150,5,0.2233
car,512,150,5,0.3818
person,512,150,5,0.6418
aeroplane,512,150,5,0.6620
dog,512,150,5,0.3438
bicycle,512,150,5,0.3813
train,512,150,5,0.5052
motorbike,512,150,5,0.2928
bottle,512,150,5,0.1324
sofa,512,150,5,0.1738
cat,512,150,5,0.4418
horse,512,150,5,0.3091
boat,512,150,5,0.3064
all,512,150,5,0.3465
bus,512,150,5,0.5497
bird,512,150,5,0.2910
tvmonitor,512,150,5,0.3435
pottedplant,512,150,5,0.1226
sheep,512,150,5,0.3017
chair,512,150,5,0.3572
cow,512,150,5,0.1692
diningtable,256,25,50,0.1887
car,256,25,50,0.3113
person,256,25,50,0.5973
aeroplane,256,25,50,0.5706
dog,256,25,50,0.2658
bicycle,256,25,50,0.2694
train,256,25,50,0.3913
motorbike,256,25,50,0.1884
bottle,256,25,50,0.1187
sofa,256,25,50,0.1495
cat,256,25,50,0.3340
horse,256,25,50,0.2028
boat,256,25,50,0.2561
all,256,25,50,0.2833
bus,256,25,50,0.4380
bird,256,25,50,0.2371
tvmonitor,256,25,50,0.3097
pottedplant,256,25,50,0.1178
sheep,256,25,50,0.2653
chair,256,25,50,0.3188
cow,256,25,50,0.1355
diningtable,512,25,20,0.2091
car,512,25,20,0.3247
person,512,25,20,0.5897
aeroplane,512,25,20,0.6350
dog,512,25,20,0.3021
bicycle,512,25,20,0.3232
train,512,25,20,0.4331
motorbike,512,25,20,0.2212
bottle,512,25,20,0.1344
sofa,512,25,20,0.1724
cat,512,25,20,0.3708
horse,512,25,20,0.2462
boat,512,25,20,0.2973
all,512,25,20,0.3099
bus,512,25,20,0.5199
bird,512,25,20,0.2621
tvmonitor,512,25,20,0.3603
pottedplant,512,25,20,0.1100
sheep,512,25,20,0.2371
chair,512,25,20,0.3162
cow,512,25,20,0.1336
diningtable,512,200,20,0.2240
car,512,200,20,0.3691
person,512,200,20,0.6424
aeroplane,512,200,20,0.6464
dog,512,200,20,0.3231
bicycle,512,200,20,0.3674
train,512,200,20,0.5024
motorbike,512,200,20,0.2807
bottle,512,200,20,0.1259
sofa,512,200,20,0.1605
cat,512,200,20,0.4304
horse,512,200,20,0.3000
boat,512,200,20,0.2924
all,512,200,20,0.3353
bus,512,200,20,0.5426
bird,512,200,20,0.2663
tvmonitor,512,200,20,0.3289
pottedplant,512,200,20,0.1175
sheep,512,200,20,0.2945
chair,512,200,20,0.3484
cow,512,200,20,0.1429
diningtable,512,400,20,0.2218
car,512,400,20,0.3667
person,512,400,20,0.6571
aeroplane,512,400,20,0.5913
dog,512,400,20,0.3267
bicycle,512,400,20,0.3706
train,512,400,20,0.4999
motorbike,512,400,20,0.2983
bottle,512,400,20,0.1266
sofa,512,400,20,0.1499
cat,512,400,20,0.4360
horse,512,400,20,0.2891
boat,512,400,20,0.2884
all,512,400,20,0.3354
bus,512,400,20,0.5590
bird,512,400,20,0.2569
tvmonitor,512,400,20,0.3256
pottedplant,512,400,20,0.1279
sheep,512,400,20,0.3160
chair,512,400,20,0.3604
cow,512,400,20,0.1403
diningtable,512,25,50,0.1981
car,512,25,50,0.3024
person,512,25,50,0.5887
aeroplane,512,25,50,0.6137
dog,512,25,50,0.2811
bicycle,512,25,50,0.3044
train,512,25,50,0.4047
motorbike,512,25,50,0.2182
bottle,512,25,50,0.1290
sofa,512,25,50,0.1578
cat,512,25,50,0.3471
horse,512,25,50,0.2251
boat,512,25,50,0.2751
all,512,25,50,0.2935
bus,512,25,50,0.5097
bird,512,25,50,0.2399
tvmonitor,512,25,50,0.3445
pottedplant,512,25,50,0.0979
sheep,512,25,50,0.2121
chair,512,25,50,0.3000
cow,512,25,50,0.1204
diningtable,256,200,20,0.2168
car,256,200,20,0.3521
person,256,200,20,0.6437
aeroplane,256,200,20,0.6079
dog,256,200,20,0.3196
bicycle,256,200,20,0.3422
train,256,200,20,0.4948
motorbike,256,200,20,0.2813
bottle,256,200,20,0.1249
sofa,256,200,20,0.1831
cat,256,200,20,0.4244
horse,256,200,20,0.2383
boat,256,200,20,0.2877
all,256,200,20,0.3260
bus,256,200,20,0.5421
bird,256,200,20,0.2472
tvmonitor,256,200,20,0.3152
pottedplant,256,200,20,0.1315
sheep,256,200,20,0.3041
chair,256,200,20,0.3292
cow,256,200,20,0.1345
diningtable,512,150,50,0.2244
car,512,150,50,0.3646
person,512,150,50,0.6346
aeroplane,512,150,50,0.6519
dog,512,150,50,0.3168
bicycle,512,150,50,0.3626
train,512,150,50,0.4883
motorbike,512,150,50,0.2690
bottle,512,150,50,0.1255
sofa,512,150,50,0.1657
cat,512,150,50,0.4212
horse,512,150,50,0.2925
boat,512,150,50,0.2874
all,512,150,50,0.3307
bus,512,150,50,0.5379
bird,512,150,50,0.2616
tvmonitor,512,150,50,0.3271
pottedplant,512,150,50,0.1152
sheep,512,150,50,0.2853
chair,512,150,50,0.3366
cow,512,150,50,0.1450
diningtable,256,100,20,0.2112
car,256,100,20,0.3485
person,256,100,20,0.6264
aeroplane,256,100,20,0.6137
dog,256,100,20,0.3055
bicycle,256,100,20,0.3223
train,256,100,20,0.4590
motorbike,256,100,20,0.2576
bottle,256,100,20,0.1288
sofa,256,100,20,0.1812
cat,256,100,20,0.4027
horse,256,100,20,0.2372
boat,256,100,20,0.2775
all,256,100,20,0.3168
bus,256,100,20,0.5199
bird,256,100,20,0.2407
tvmonitor,256,100,20,0.3030
pottedplant,256,100,20,0.1415
sheep,256,100,20,0.3012
chair,256,100,20,0.3131
cow,256,100,20,0.1459
diningtable,512,100,20,0.2243
car,512,100,20,0.3503
person,512,100,20,0.6254
aeroplane,512,100,20,0.6487
dog,512,100,20,0.3114
bicycle,512,100,20,0.3511
train,512,100,20,0.4632
motorbike,512,100,20,0.2525
bottle,512,100,20,0.1266
sofa,512,100,20,0.1697
cat,512,100,20,0.4081
horse,512,100,20,0.2838
boat,512,100,20,0.2843
all,512,100,20,0.3236
bus,512,100,20,0.5334
bird,512,100,20,0.2466
tvmonitor,512,100,20,0.3326
pottedplant,512,100,20,0.1114
sheep,512,100,20,0.2785
chair,512,100,20,0.3224
cow,512,100,20,0.1478
diningtable,256,25,20,0.2059
car,256,25,20,0.3346
person,256,25,20,0.5968
aeroplane,256,25,20,0.5977
dog,256,25,20,0.2933
bicycle,256,25,20,0.2916
train,256,25,20,0.4044
motorbike,256,25,20,0.2059
bottle,256,25,20,0.1273
sofa,256,25,20,0.1750
cat,256,25,20,0.3576
horse,256,25,20,0.2199
boat,256,25,20,0.2811
all,256,25,20,0.3014
bus,256,25,20,0.4822
bird,256,25,20,0.2592
tvmonitor,256,25,20,0.3239
pottedplant,256,25,20,0.1230
sheep,256,25,20,0.2758
chair,256,25,20,0.3186
cow,256,25,20,0.1539
diningtable,256,150,20,0.2138
car,256,150,20,0.3517
person,256,150,20,0.6369
aeroplane,256,150,20,0.6160
dog,256,150,20,0.3151
bicycle,256,150,20,0.3336
train,256,150,20,0.4802
motorbike,256,150,20,0.2719
bottle,256,150,20,0.1277
sofa,256,150,20,0.1834
cat,256,150,20,0.4150
horse,256,150,20,0.2431
boat,256,150,20,0.2897
all,256,150,20,0.3231
bus,256,150,20,0.5325
bird,256,150,20,0.2432
tvmonitor,256,150,20,0.3121
pottedplant,256,150,20,0.1377
sheep,256,150,20,0.3030
chair,256,150,20,0.3191
cow,256,150,20,0.1363
diningtable,2048,150,20,0.2180
car,2048,150,20,0.3523
person,2048,150,20,0.6385
aeroplane,2048,150,20,0.6781
dog,2048,150,20,0.3172
bicycle,2048,150,20,0.3767
train,2048,150,20,0.4806
motorbike,2048,150,20,0.2573
bottle,2048,150,20,0.1236
sofa,2048,150,20,0.1373
cat,2048,150,20,0.4413
horse,2048,150,20,0.2735
boat,2048,150,20,0.3024
all,2048,150,20,0.3389
bus,2048,150,20,0.5828
bird,2048,150,20,0.2803
tvmonitor,2048,150,20,0.3774
pottedplant,2048,150,20,0.1028
sheep,2048,150,20,0.3482
chair,2048,150,20,0.3418
cow,2048,150,20,0.1474
diningtable,512,150,100,0.2252
car,512,150,100,0.3640
person,512,150,100,0.6348
aeroplane,512,150,100,0.6524
dog,512,150,100,0.3173
bicycle,512,150,100,0.3622
train,512,150,100,0.4880
motorbike,512,150,100,0.2691
bottle,512,150,100,0.1258
sofa,512,150,100,0.1651
cat,512,150,100,0.4211
horse,512,150,100,0.2937
boat,512,150,100,0.2880
all,512,150,100,0.3308
bus,512,150,100,0.5382
bird,512,150,100,0.2617
tvmonitor,512,150,100,0.3278
pottedplant,512,150,100,0.1152
sheep,512,150,100,0.2858
chair,512,150,100,0.3373
cow,512,150,100,0.1441
diningtable,1024,150,20,0.2104
car,1024,150,20,0.3059
person,1024,150,20,0.6259
aeroplane,1024,150,20,0.6883
dog,1024,150,20,0.3097
bicycle,1024,150,20,0.3338
train,1024,150,20,0.4896
motorbike,1024,150,20,0.2642
bottle,1024,150,20,0.1286
sofa,1024,150,20,0.1802
cat,1024,150,20,0.4243
horse,1024,150,20,0.2919
boat,1024,150,20,0.3273
all,1024,150,20,0.3297
bus,1024,150,20,0.5648
bird,1024,150,20,0.2688
tvmonitor,1024,150,20,0.3102
pottedplant,1024,150,20,0.1046
sheep,1024,150,20,0.3068
chair,1024,150,20,0.3222
cow,1024,150,20,0.1361
diningtable,256,400,20,0.2210
car,256,400,20,0.3390
person,256,400,20,0.6508
aeroplane,256,400,20,0.5469
dog,256,400,20,0.3209
bicycle,256,400,20,0.3424
train,256,400,20,0.4761
motorbike,256,400,20,0.2893
bottle,256,400,20,0.1237
sofa,256,400,20,0.1657
cat,256,400,20,0.4206
horse,256,400,20,0.2220
boat,256,400,20,0.2766
all,256,400,20,0.3189
bus,256,400,20,0.5545
bird,256,400,20,0.2358
tvmonitor,256,400,20,0.2995
pottedplant,256,400,20,0.1213
sheep,256,400,20,0.3065
chair,256,400,20,0.3382
cow,256,400,20,0.1275
